Date,Time,Humidity (%),Temperature (C),Moisture,LDR,Distance,Power Status,Motor Status,Light Status,Fan Status
2021-11-21,03:09:39.885767,70.00,26.00,1001,94,64,on,on,on,off
2021-11-21,03:10:40.150127,70.00,26.00,1002,523,64,on,on,off,off
2021-11-21,03:11:40.212123,69.00,27.00,1002,524,64,on,on,off,off
2021-11-21,03:17:10.509316,69.00,27.00,1001,503,64,on,on,off,off
2021-11-21,03:18:22.331791,69.00,27.00,1003,503,0,on,on,off,off
2021-11-21,04:03:48.142996,69.00,26.00,1000,504,8,on,on,off,off
2021-11-21,04:04:48.238875,69.00,26.00,1001,505,7,on,on,off,off
2021-11-21,04:05:48.336576,69.00,26.00,1001,514,7,on,on,off,off
2021-11-21,04:06:48.448830,69.00,26.00,1001,511,5,on,on,off,off
2021-11-21,04:07:48.601951,69.00,26.00,1003,515,5,on,on,off,off
2021-11-21,04:08:48.628415,69.00,26.00,1001,518,5,on,on,off,off
2021-11-23,03:01:02.798996,69.00,26.00,1001,520,5,on,on,off,off
2021-11-23,03:02:02.758259,69.00,26.00,999,95,4,on,on,on,off
2021-11-23,03:03:02.837504,69.00,26.00,1001,480,4,on,on,off,off
2021-11-23,03:04:02.945324,69.00,26.00,1000,501,8,on,on,off,off
